"Ant","Characterized by.....","Name","Neural","rowId"
"{""value"":""Flow/Interaction rate of nestmates""}","{""value"":""Interfacing directly with external material world (dirt, building, outside). ""}","{""value"":""Unconscious""}","{""value"":""Neural firing patterns""}","i-Ax5kHr65PG"
"{""value"":""(Queen & Retinue) Internal Pheromone distribution""}","{""value"":""Semiotic extraction""}","{""value"":""Conscious""}","{""value"":""Neuro-Symbolic representation, Language game""}","i-_fr58gXaw7"
"{""value"":""Nest maintainers, Tunnel building, they are externalizing the “map” (which becomes the Territory). ""}","{""value"":""Balance M1 and M2""}","{""value"":""Consciousness""}","{""value"":""Basal ganglia? (Not that location is the key aspect). Map of the mind, Global workspace and the ways it can be broken up. Consciousness (and all 3 really) could operate on this map.""}","i-fkNLkT3shR"
